03-13 16:20:57.486 I/ActivityTaskManager( 1288): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.DefaultCompany.YFYouYou/com.unity3d.player.UnityPlayerGameActivity bnds=[1325,145][1568,317]} from uid 10020, pid 1584
03-13 16:20:57.494 I/ActivityManager( 1288): Start proc 2694:com.DefaultCompany.YFYouYou/u0a82 for pre-top-activity {com.DefaultCompany.YFYouYou/com.unity3d.player.UnityPlayerGameActivity}
03-13 16:21:36.166 I/WindowManager( 1288): WIN DEATH: Window{b6570b2 u0 com.DefaultCompany.YFYouYou/com.unity3d.player.UnityPlayerGameActivity}
03-13 16:21:36.167 W/WindowManager( 1288): Failed to deliver inset state change to w=Window{b6570b2 u0 com.DefaultCompany.YFYouYou/com.unity3d.player.UnityPlayerGameActivity EXITING}
03-13 16:21:36.218 W/WindowManager( 1288): Failed to deliver inset state change to w=Window{b6570b2 u0 com.DefaultCompany.YFYouYou/com.unity3d.player.UnityPlayerGameActivity EXITING}
03-13 17:26:07.266 I/ActivityTaskManager( 1288): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.DefaultCompany.YFYouYou/com.unity3d.player.UnityPlayerGameActivity bnds=[1325,145][1568,317]} from uid 10020, pid 1584
03-13 17:26:07.279 I/ActivityManager( 1288): Start proc 2913:com.DefaultCompany.YFYouYou/u0a82 for pre-top-activity {com.DefaultCompany.YFYouYou/com.unity3d.player.UnityPlayerGameActivity}
03-13 17:26:07.876 V/Unity   ( 2913): Context Type: GameActivity
03-13 17:26:07.881 I/Unity   ( 2913): UnityApplication::CreateInstance
03-13 17:26:07.882 I/Unity   ( 2913): GameActivity Package Version '3.0.5'
03-13 17:26:07.882 I/Unity   ( 2913): Starting Game Loop
03-13 17:26:07.886 I/Unity   ( 2913): Handle cmd APP_CMD_START(11)
03-13 17:26:07.889 I/Unity   ( 2913): Handle cmd APP_CMD_RESUME(12)
03-13 17:26:07.919 I/Unity   ( 2913): Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
03-13 17:26:07.919 I/Unity   ( 2913): Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
03-13 17:26:07.919 I/Unity   ( 2913): Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
03-13 17:26:07.919 I/Unity   ( 2913): Handle cmd APP_CMD_WINDOW_INSETS_CHANGED(17)
03-13 17:26:07.919 I/Unity   ( 2913): Handle cmd APP_CMD_CONTENT_RECT_CHANGED(5)
03-13 17:26:07.919 I/Unity   ( 2913): Handle cmd APP_CMD_INIT_WINDOW(1)
03-13 17:26:07.954 I/Unity   ( 2913): MemoryManager: Using 'Dynamic Heap' Allocator.
03-13 17:26:07.986 D/ActivityInfoProvider( 2052): setLatestComponent: com.DefaultCompany.YFYouYou/com.unity3d.player.UnityPlayerGameActivity com.DefaultCompany.YFYouYou/com.unity3d.player.UnityPlayerGameActivity
03-13 17:26:07.988 I/ActivityTaskManager( 1288): Displayed com.DefaultCompany.YFYouYou/com.unity3d.player.UnityPlayerGameActivity: +720ms
